INDICATORS;PRCCODE;PRCCODE_LABEL;DECL;PERIOD;Value;Flag and Footnotes
PRODVAL;8111133;Marbres et travertins, bruts ou dégrossis;EU27TOTALS_2020;Jan.-Dec. 2017;432 283 989;
PRODVAL;8111136;Marbres et travertins, simplement débités en blocs ou en plaques de forme carrée ou rectangulaire;EU27TOTALS_2020;Jan.-Dec. 2017;495 465 201;
PRODVAL;8111150;Écaussines et autres pierres calcaires ornementales ou de construction d'une masse volumique apparente >= 2,5;EU27TOTALS_2020;Jan.-Dec. 2017;340 000 000;
PRODVAL;8111220;Quartzites (bruts, dégrossis ou simplement débités);EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;8111233;Granits, bruts ou dégrossis;EU27TOTALS_2020;Jan.-Dec. 2017;235 692 556;
PRODVAL;8111236;Granits, simplement débités en blocs ou en plaques de forme carrée ou rectangulaire;EU27TOTALS_2020;Jan.-Dec. 2017;120 000 000;
PRODVAL;8111250;Grès;EU27TOTALS_2020;Jan.-Dec. 2017;51 465 455;
PRODVAL;8111260;Autres pierres ornementales ou de construction;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;8111290;Porphyres, basaltes, quartzites et autres pierres de taille ou de construction, brutes, dégrossies ou simplement débitées (à l'exclusion des pierres calcaires ornementales ou de construction d'une densité apparente >= 2,5, des granits et des grès);EU27TOTALS_2020;Jan.-Dec. 2017;154 725 706;
PRODVAL;8112030;Gypse et anhydrite (naturel ou synthétique);EU27TOTALS_2020;Jan.-Dec. 2017;169 963 680;
PRODVAL;8112050;Castines, pierres à chaux ou à ciment (à l'exclusion des granulats de pierres à chaux broyées et des pierres de taille calcaires);EU27TOTALS_2020;Jan.-Dec. 2017;876 780 316;
PRODVAL;8113010;Craie;EU27TOTALS_2020;Jan.-Dec. 2017;316 702 024;
PRODVAL;8113030;Dolomie, brute, dégrossie ou simplement débitée en blocs ou en plaques de forme carrée ou rectangulaire (à l'exclusion de la dolomie frittée ou calcinée, du pisé de dolomie et de la dolomie concassée utilisée pour le bétonnage ou pour l'empierrement des routes, des voies ferrées ou autres ballasts);EU27TOTALS_2020;Jan.-Dec. 2017;218 520 181;
PRODVAL;8114000;Ardoise, brute, dégrossie ou simplement débitée en blocs ou plaques carrées ou rectangulaires;EU27TOTALS_2020;Jan.-Dec. 2017;221 804 242;
PRODVAL;8121150;Sables siliceux (sables quartzeux ou sables industriels);EU27TOTALS_2020;Jan.-Dec. 2017;915 775 153;
PRODVAL;8121190;"Sables pour la construction comme les sables argileux; sables kaoliniques; sables feldspathiques (à l'exclusion des sables siliceux et des sables métallifères)";EU27TOTALS_2020;Jan.-Dec. 2017;2 260 442 264;
PRODVAL;8121210;Graviers, cailloux, silex et galets concassés utilisés comme granulats pour le bétonnage ou pour l'empierrement des routes, des voies ferrées ou autres ballasts;EU27TOTALS_2020;Jan.-Dec. 2017;3 756 962 164;
PRODVAL;8121230;Pierres concassées utilisées comme granulats pour le bétonnage ou pour l'empierrement des routes, des voies ferrées ou autres ballasts (à l'exclusion des graviers, cailloux, silex et galets);EU27TOTALS_2020;Jan.-Dec. 2017;4 787 888 487;
PRODVAL;8121235;Dolomies, pierres à chaux et autres pierres calcaires, concassées;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;8121240;Autres pierres concassées, des types généralement utilisés pour le bétonnage ou pour l'empierrement des routes, des voies ferrées ou autres ballasts (à l'exclusion des cailloux, graviers, galets, silex, dolomies, pierres à chaux et autres pierres calcaires);EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;8121250;Granulés, éclats et poudres de marbre;EU27TOTALS_2020;Jan.-Dec. 2017;396 504 371;
PRODVAL;8121290;Granulés, éclats et poudres de travertin, d'Écaussine, de granit, de porphyre, de basalte, de grès et d'autres pierres ornementales ou de construction;EU27TOTALS_2020;Jan.-Dec. 2017;564 495 747;
PRODVAL;8121300;Mélanges de laitiers et de déchets industriels similaires, comprenant ou non des cailloux, graviers, galets et silex pour utilisation dans la construction;EU27TOTALS_2020;Jan.-Dec. 2017;109 010 461;
PRODVAL;8122140;Kaolin, non calciné;EU27TOTALS_2020;Jan.-Dec. 2017;241 730 713;
PRODVAL;8122160;Argiles kaoliniques (ball clays) et argiles plastiques;EU27TOTALS_2020;Jan.-Dec. 2017;77 379 296;
PRODVAL;8122210;Bentonite;EU27TOTALS_2020;Jan.-Dec. 2017;197 731 883;
PRODVAL;8122230;Argiles réfractaires;EU27TOTALS_2020;Jan.-Dec. 2017;47 318 455;
PRODVAL;8122250;"Argiles courantes et schisteuses pour usages dans la construction (à l'exclusion de la bentonite, des argiles réfractaires, des argiles expansées, du kaolin et des argiles kaoliniques); andalousite, cyanite et sillimanite; mullite; terres de chamotte ou de dinas";EU27TOTALS_2020;Jan.-Dec. 2017;318 202 288;
PRODVAL;8122255;Argiles réfractaires;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;8122260;Andalousite, cyanite et sillimanite;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;8122270;Mullite;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;8122280;Terres de chamotte ou de dinas;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;8911100;Phosphates de calcium ou aluminocalciques naturels et craies phosphatées;EU27TOTALS_2020;Jan.-Dec. 2017;16 000 000;
PRODVAL;8911200;"Pyrites de fer non grillées; soufre brut et soufre non raffiné, y compris le soufre récupéré";EU27TOTALS_2020;Jan.-Dec. 2017;100 000 000;
PRODVAL;8911220;Phosphates de calcium ou aluminocalciques naturels et craies phosphatées;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;8911230;Soufre brut ou non raffiné (y compris le soufre récupéré);EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;8911900;Autres minéraux chimiques et engrais minéraux;EU27TOTALS_2020;Jan.-Dec. 2017;1 000 891 099;
PRODVAL;8931000;Sel, y compris le sel dénaturé (à l'exclusion du sel propre à l'alimentation humaine), et chlorure de sodium pur, même en solution aqueuse ou additionnés d'agents anti-agglomérants ou d'agents assurant une bonne fluidité;EU27TOTALS_2020;Jan.-Dec. 2017;1 266 558 327;
PRODVAL;8991000;"Bitumes et asphaltes naturels; asphaltites et roches asphaltiques";EU27TOTALS_2020;Jan.-Dec. 2017;17 261 404;
PRODVAL;8992100;Pierres précieuses et semi-précieuses (à l'exclusion des diamants industriels), brutes ou simplement sciées ou dégrossies;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;8992110;Diamants bruts ou simplement sciés ou dégrossis;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;8992120;Pierres précieuses (autres que les diamants) et semi-précieuses, brutes ou simplement sciées ou dégrossies;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;8992200;"Diamants industriels, bruts ou dégrossis; pierre ponce; émeri; corindon et grenat naturels et autres abrasifs naturels";EU27TOTALS_2020;Jan.-Dec. 2017;15 058 821;
PRODVAL;8992210;Diamants industriels, bruts ou simplement sciés, clivés ou débrutés, mais ni montés ni sertis;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;8992220;Pierre ponce;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;8992230;"Émeri; corindon et grenat naturels et autres abrasifs naturels, même traités thermiquement";EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;8992900;Autres minéraux;EU27TOTALS_2020;Jan.-Dec. 2017;1 423 356 020;
PRODVAL;100000Z1;Préparations et conserves à base de viandes, abats et sang, y compris les plats préparés;EU27TOTALS_2020;Jan.-Dec. 2017;50 673 270 646;
PRODVAL;100000Z2;Poissons, crustacés, mollusques et autres invertébrés aquatiques, autrement préparés ou conservés, y compris les plats préparés;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;100000Z3;Légumes (à l'exclusion des pommes de terre) conservés autrement qu'au vinaigre ou à l'acide acétique, y compris les plats préparés;EU27TOTALS_2020;Jan.-Dec. 2017;12 260 005 882;
PRODVAL;100000Z4;"Autres préparations et conserves à base de crustacés, mollusques, autres invertébrés aquatiques et algues congelés, séchés, salés ou en saumure; autres préparations et conserves à base de poisons; plats préparés à base de poissons, de crustacés et de mollusques";EU27TOTALS_2020;Jan.-Dec. 2017;3 464 198 872;
PRODVAL;10111140;Viandes bovines, fraîches ou réfrigérées, en carcasses, demi-carcasses ou quartiers;EU27TOTALS_2020;Jan.-Dec. 2017;11 398 132 485;
PRODVAL;10111190;Viandes bovines, fraîches ou réfrigérées, en morceaux;EU27TOTALS_2020;Jan.-Dec. 2017;15 120 874 744;
PRODVAL;10111230;Viandes porcines, fraîches ou réfrigérées, en carcasses ou demi-carcasses, y compris les viandes fraîches emballées avec du sel pour conservation temporaire;EU27TOTALS_2020;Jan.-Dec. 2017;10 624 579 374;
PRODVAL;10111250;Jambons, épaules de porc et leurs morceaux non désossés, frais ou réfrigérés, y compris les viandes fraîches emballées avec du sel pour conservation temporaire;EU27TOTALS_2020;Jan.-Dec. 2017;9 947 436 550;
PRODVAL;10111290;Autres viandes porcines, fraîches ou réfrigérées, y compris les viandes fraîches emballées avec du sel pour conservation temporaire (à l'exclusion des carcasses ou demi-carcasses et des jambons, épaules et leurs morceaux, non désossés);EU27TOTALS_2020;Jan.-Dec. 2017;18 930 831 749;
PRODVAL;10111300;Viandes ovines ou d'agneau, fraîches ou réfrigérées, en carcasses, demi-carcasses ou quartiers;EU27TOTALS_2020;Jan.-Dec. 2017;1 645 503 486;
PRODVAL;10111400;Viande de caprins, fraîche ou réfrigérée;EU27TOTALS_2020;Jan.-Dec. 2017;44 000 000;
PRODVAL;10111500;Viande de cheval et autres équidés, fraîche, ou réfrigérée;EU27TOTALS_2020;Jan.-Dec. 2017;104 475 473;
PRODVAL;10112000;Abats comestibles d'animaux de boucherie, frais ou réfrigérés;EU27TOTALS_2020;Jan.-Dec. 2017;2 687 749 989;
PRODVAL;10113100;Viandes bovines congelées ou surgelées, en carcasses, demi-carcasses ou quartiers;EU27TOTALS_2020;Jan.-Dec. 2017;2 589 335 894;
PRODVAL;10113230;Viandes porcines, congelées ou surgelées, en carcasses ou demi-carcasses;EU27TOTALS_2020;Jan.-Dec. 2017;211 952 047;
PRODVAL;10113250;Jambons, épaules de porc et leurs morceaux non désossés, congelés;EU27TOTALS_2020;Jan.-Dec. 2017;1 196 651 443;
PRODVAL;10113290;Autres viandes porcines, congelées ou surgelées (à l'exclusion des carcasses ou demi-carcasses et des jambons, épaules et leurs morceaux, non désossés);EU27TOTALS_2020;Jan.-Dec. 2017;4 934 577 435;
PRODVAL;10113300;Viandes ovines ou d'agneau, congelées ou surgelées, en carcasses, demi-carcasses ou quartiers;EU27TOTALS_2020;Jan.-Dec. 2017;161 067 145;
PRODVAL;10113400;Viande de caprins, congelée ou surgelée;EU27TOTALS_2020;Jan.-Dec. 2017;10 638 526;
PRODVAL;10113500;Viande de cheval, congelée ou surgelée;EU27TOTALS_2020;Jan.-Dec. 2017;10 389 695;
PRODVAL;10113910;Abats comestibles des animaux des espèces bovine, porcine, ovine, caprine, chevaline, asine ou mulassière, congelés;EU27TOTALS_2020;Jan.-Dec. 2017;965 317 622;
PRODVAL;10113930;Viandes et abats comestibles, frais, réfrigérés, congelés ou surgelés, y compris de lapins, de lièvres et de gibier (à l'exclusion des cuisses de grenouilles et des viandes et abats de volailles et d'animaux des espèces bovine, chevaline, ovine et caprine);EU27TOTALS_2020;Jan.-Dec. 2017;888 781 445;
PRODVAL;10114100;Laines en suint, y compris les laines lavées à dos, non cardées ni peignées (à l'exclusion des laines de tonte);EU27TOTALS_2020;Jan.-Dec. 2017;3 000 000;
PRODVAL;10114200;Cuirs et peaux bruts de bovins ou d'équidés, entiers (à l'exclusion de ceux liés au SH 4101 90);EU27TOTALS_2020;Jan.-Dec. 2017;1 117 484 572;
PRODVAL;10114300;Autres cuirs et peaux bruts de bovins ou d'équidés;EU27TOTALS_2020;Jan.-Dec. 2017;103 941 160;
PRODVAL;10114400;Peaux d'ovins brutes;EU27TOTALS_2020;Jan.-Dec. 2017;48 387 853;
PRODVAL;10114500;Peaux de caprins, fraîches ou conservées, non tannées, brutes;EU27TOTALS_2020;Jan.-Dec. 2017;2 700 000;
PRODVAL;10115040;Graisses de porc sans parties maigres, non fondues, fraîches, réfrigérées, congelées, salées, en saumure ou fumées;EU27TOTALS_2020;Jan.-Dec. 2017;565 056 065;
PRODVAL;10115060;Saindoux et autres graisses de porc, fondues;EU27TOTALS_2020;Jan.-Dec. 2017;776 774 590;
PRODVAL;10115070;Graisses de bovins, ovins, caprins, brutes ou fondues;EU27TOTALS_2020;Jan.-Dec. 2017;472 245 988;
PRODVAL;10116030;Boyaux, vessies et estomacs d'animaux (à l'exclusion des poissons), entiers ou en morceaux;EU27TOTALS_2020;Jan.-Dec. 2017;835 312 033;
PRODVAL;10116090;Autres déchets ne convenant pas à la consommation humaine (à l'exclusion des poissons, boyaux, vessies et estomacs);EU27TOTALS_2020;Jan.-Dec. 2017;609 063 244;
PRODVAL;101200Z1;Canards, oies et pintades non découpés, frais, réfrigérés ou congelés;EU27TOTALS_2020;Jan.-Dec. 2017;528 701 290;
PRODVAL;101200Z2;Morceaux de canards, d'oies et de pintades, frais, réfrigérés ou congelés;EU27TOTALS_2020;Jan.-Dec. 2017;860 670 373;
PRODVAL;101200Z3;Abats de volailles, frais, réfrigérés ou congelés (à l'exclusion des foies gras d'oies et de canards, frais ou réfrigérés);EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;10121010;Coqs et poules, non découpés, frais ou réfrigérés;EU27TOTALS_2020;Jan.-Dec. 2017;6 188 589 836;
PRODVAL;10121020;Dindons et dindes, non découpés, frais ou réfrigérés;EU27TOTALS_2020;Jan.-Dec. 2017;374 251 004;
PRODVAL;10121030;Canards, oies et pintades, non découpés, frais ou réfrigérés;EU27TOTALS_2020;Jan.-Dec. 2017;282 379 630;
PRODVAL;10121040;Foies gras d'oies ou de canards, frais ou réfrigérés;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;10121050;Morceaux de coqs et de poules, frais ou réfrigérés;EU27TOTALS_2020;Jan.-Dec. 2017;11 696 630 621;
PRODVAL;10121060;Morceaux de dindons et de dindes, frais ou réfrigérés;EU27TOTALS_2020;Jan.-Dec. 2017;3 348 066 325;
PRODVAL;10121070;Morceaux de canards, d'oies et de pintades, frais ou réfrigérés;EU27TOTALS_2020;Jan.-Dec. 2017;564 692 584;
PRODVAL;10122013;Coqs et poules, non découpés, congelés ou surgelés;EU27TOTALS_2020;Jan.-Dec. 2017;789 572 165;
PRODVAL;10122015;Dindons et dindes, non découpés, congelés ou surgelés;EU27TOTALS_2020;Jan.-Dec. 2017;28 264 601;
PRODVAL;10122017;Canards, oies et pintades, non découpés, congelés ou surgelés;EU27TOTALS_2020;Jan.-Dec. 2017;200 000 000;
PRODVAL;10122053;Morceaux de coqs ou poules, congelés ou surgelés;EU27TOTALS_2020;Jan.-Dec. 2017;1 999 245 826;
PRODVAL;10122055;Morceaux de dindons ou dindes, congelés ou surgelés;EU27TOTALS_2020;Jan.-Dec. 2017;245 527 129;
PRODVAL;10122057;Morceaux de canards, oies et pintades, congelés ou surgelés;EU27TOTALS_2020;Jan.-Dec. 2017;261 654 789;
PRODVAL;10122080;Foies de volailles, congelés ou surgelés;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;10123000;Graisses de volailles;EU27TOTALS_2020;Jan.-Dec. 2017;161 160 528;
PRODVAL;10124000;Abats comestibles de volailles;EU27TOTALS_2020;Jan.-Dec. 2017;893 325 860;
PRODVAL;10124020;Abats et foies de volailles, frais ou réfrigérés (à l'exclusion des foies gras de canard et d'oie);EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;10124050;Abats de volailles congelés (à l'exclusion des foies);EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;10125000;Peaux et parties d'oiseaux revêtues de leurs plumes ou de leur duvet, plumes et autres, travaillées;EU27TOTALS_2020;Jan.-Dec. 2017;156 000 000;
PRODVAL;10131120;Jambons, épaules de porcs et leurs morceaux, non désossés, salés, en saumure, séchés ou fumés;EU27TOTALS_2020;Jan.-Dec. 2017;6 891 599 233;
PRODVAL;10131150;Poitrines de porc et leurs morceaux, salés, en saumure, séchés ou fumés;EU27TOTALS_2020;Jan.-Dec. 2017;2 319 952 478;
PRODVAL;10131180;Autres viandes de porc comestibles, salées, en saumure, séchées ou fumées, y compris le bacon, les trois-quarts avant, les trois-quarts arrière ou milieux, les parties avant et leurs morceaux ainsi que les longes et leurs morceaux (à l'exclusion des jambons, épaules et leurs morceaux, non désossés, ainsi que des poitrines [entrelardés] et leurs morceaux);EU27TOTALS_2020;Jan.-Dec. 2017;3 508 078 505;
PRODVAL;10131200;Viandes bovines, salées, en saumure, séchées ou fumées;EU27TOTALS_2020;Jan.-Dec. 2017;775 424 164;
PRODVAL;10131300;"Autres viandes et abats comestibles, salés, en saumure, séchés ou fumés; farines et poudres, comestibles, de viandes ou d'abats (à l'exclusion de la viande de porc et de b¿uf salée, en saumure, séchée ou fumée)";EU27TOTALS_2020;Jan.-Dec. 2017;434 158 903;
PRODVAL;10131430;Saucisses, saucissons et produits similaires, de foie, et préparations alimentaires à base de ces produits (à l'exclusion des plats préparés);EU27TOTALS_2020;Jan.-Dec. 2017;641 644 488;
PRODVAL;10131460;Saucisses, saucissons et produits similaires, de viande, d'abats ou de sang, et préparations alimentaires à base de ces produits (à l'exclusion des saucisses et saucissons de foie ainsi que des plats préparés);EU27TOTALS_2020;Jan.-Dec. 2017;20 487 569 740;
PRODVAL;10131505;Préparations et conserves de foie d'oie ou de canard (à l'exclusion des saucisses et saucissons ainsi que des plats préparés);EU27TOTALS_2020;Jan.-Dec. 2017;567 976 894;
PRODVAL;10131515;Préparations et conserves de foies d'autres animaux (à l'exclusion des saucisses et saucissons ainsi que des plats préparés);EU27TOTALS_2020;Jan.-Dec. 2017;288 612 853;
PRODVAL;10131525;Préparations et conserves de dinde (à l'exclusion des saucisses et saucissons, des préparations de foies et des plats préparés);EU27TOTALS_2020;Jan.-Dec. 2017;1 857 696 054;
PRODVAL;10131535;Préparations et conserves d'autres volailles (à l'exclusion des saucisses et saucissons, des préparations de foies et des plats préparés);EU27TOTALS_2020;Jan.-Dec. 2017;4 989 472 207;
PRODVAL;10131545;Préparations et conserves de porc: jambons et leurs morceaux (à l'exclusion des plats préparés);EU27TOTALS_2020;Jan.-Dec. 2017;7 060 551 092;
PRODVAL;10131555;Préparations et conserves de porc: épaules et leurs morceaux (à l'exclusion des plats préparés);EU27TOTALS_2020;Jan.-Dec. 2017;598 474 116;
PRODVAL;10131565;Préparations et conserves de viande ou d'abats d'animaux domestiques de l'espèce porcine, y compris les mélanges, contenant en poids < 40 % de viande ou d'abats, de toutes espèces, y compris le lard et les graisses de toute nature ou origine (à l'exclusion des saucisses, saucissons et produits similaires, des préparations finement homogénéisées, des préparations à base de foie ainsi que des plats préparés);EU27TOTALS_2020;Jan.-Dec. 2017;934 443 975;
PRODVAL;10131575;Autres préparations et conserves de porc, y compris les mélanges (à l'exclusion des saucisses, saucissons et produits similaires, des préparations finement homogénéisées, des préparations à base de foie ainsi que des plats préparés);EU27TOTALS_2020;Jan.-Dec. 2017;4 733 880 251;
PRODVAL;10131585;Préparations et conserves de viandes de l'espèce bovine (à l'exclusion des saucisses, saucissons et produits similaires, des préparations finement homogénéisées, des préparations à base de foie ainsi que des plats préparés);EU27TOTALS_2020;Jan.-Dec. 2017;2 366 935 942;
PRODVAL;10131595;Autres préparations et conserves d'autres animaux, préparations de sang et d'abats (à l'exclusion des saucisses, saucissons et produits similaires, des préparations finement homogénéisées, des préparations à base de foie ainsi que des plats préparés);EU27TOTALS_2020;Jan.-Dec. 2017;978 740 134;
PRODVAL;10131600;"Farines, poudres et pellets de viandes ou d'abats, impropres à l'alimentation humaine; cretons";EU27TOTALS_2020;Jan.-Dec. 2017;1 024 655 570;
PRODVAL;10139100;Cuisson et autres services de préparation de produits à base de viande;EU27TOTALS_2020;Jan.-Dec. 2017;863 022 747;
PRODVAL;10201100;Filets de poissons et chair de poissons (même hachée), frais ou réfrigérés;EU27TOTALS_2020;Jan.-Dec. 2017;2 537 976 568;
PRODVAL;10201110;Filets de poissons frais ou réfrigérés et viandes de poisson (y compris ailerons de requins), y compris hachées;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;10201200;Foies, ¿ufs et laitances de poissons, frais ou réfrigérés;EU27TOTALS_2020;Jan.-Dec. 2017;6 991 465;
PRODVAL;10201330;Poissons de mer congelés ou surgelés;EU27TOTALS_2020;Jan.-Dec. 2017;1 524 707 883;
PRODVAL;10201360;Poissons d'eau douce congelés ou surgelés;EU27TOTALS_2020;Jan.-Dec. 2017;25 105 559;
PRODVAL;10201400;Filets de poissons, congelés ou surgelés;EU27TOTALS_2020;Jan.-Dec. 2017;1 046 197 190;
PRODVAL;10201500;Chair de poissons (à l'exclusion des filets), même hachée, congelée ou surgelée;EU27TOTALS_2020;Jan.-Dec. 2017;160 460 672;
PRODVAL;10201510;Viandes de poissons, congelées ou surgelées, y compris hachées (à l'exclusion des filets et du surimi);EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;10201520;Surimi cru, congelé ou surgelé;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;10201600;Foies, ¿ufs et laitances de poissons congelés ou surgelés;EU27TOTALS_2020;Jan.-Dec. 2017;10 327 384;
PRODVAL;10202100;Filets de poissons salés, séchés ou en saumure, mais non fumés;EU27TOTALS_2020;Jan.-Dec. 2017;173 232 345;
PRODVAL;10202200;"Farines, poudres et pellets de poissons, propres à l'alimentation humaine; foies, ¿ufs et laitances de poissons, séchés, salés, en saumure ou fumés";EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;10202250;"Foies, ¿ufs, nageoires, têtes, queues, vessies natatoires et autres abats de poissons comestibles, séchés, salés ou fumés; farines, poudres et pellets de poissons pour alimentation humaine";EU27TOTALS_2020;Jan.-Dec. 2017;42 204 305;
PRODVAL;10202300;Poissons séchés ou salés;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;10202350;"Poissons séchés, salés ou non; poissons salés, mais non séchés; poissons en saumure (à l'exclusion des filets, des poissons fumés, ainsi que des têtes, queues et vessies natatoires)";EU27TOTALS_2020;Jan.-Dec. 2017;464 870 251;
PRODVAL;10202420;Saumons du Pacifique, Atlantique, Danube, fumés (y compris les filets);EU27TOTALS_2020;Jan.-Dec. 2017;:;
